Year,Movie,Revenue,Budget,Summary,Director,Writers,Stars,Production
1986,That's Life!,"$4,079,895",NA,"Harvey and Gillian Fairchild face a very difficult weekend. Harvey, celebrating his 60th birthday, is stressed and depressed. Gillian is awaiting the results of a throat biopsy. Their lives...
                    See full summary »",Blake Edwards,"['Milton Wexler', 'Blake Edwards']","['Jack Lemmon', 'Julie Andrews', 'Sally Kellerman']","['Blake Edwards', 'Delphi V Productions', 'Paradise Cove Productions']"
1993,Heart and Souls,"$16,581,714",NA,"A businessman is reunited with the four lost souls who were his guardian angels during childhood, all with a particular purpose to joining the afterlife.",Ron Underwood,"['Gregory Hansen', 'Gregory Hansen']","['Robert Downey Jr.', 'Charles Grodin', 'Alfre Woodard']","['Universal Pictures', 'Alphaville Films', 'Stampede Entertainment']"
1963,Hud,NA,"$2,500,000","Honest and hard-working Texas rancher Homer Bannon has a conflict with his unscrupulous, selfish, arrogant and egotistical son Hud who sank into alcoholism after accidentally killing his brother in a car crash.",Martin Ritt,"['Irving Ravetch', 'Harriet Frank Jr.']","['Paul Newman', 'Melvyn Douglas', 'Patricia Neal']","['Paramount Pictures', 'Salem-Dover Productions']"
1961,"The Hustler,",NA,"$2,000,000",An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Robert Rossen,"['Sidney Carroll', 'Robert Rossen']","['Paul Newman', 'Jackie Gleason', 'Piper Laurie']","['Rossen Films', 'Twentieth Century Fox Film Corporation']"
1960,Inherit the Wind,NA,NA,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",Stanley Kramer,"['Nedrick Young', 'Harold Jacob Smith']","['Spencer Tracy', 'Fredric March', 'Gene Kelly']",['Stanley Kramer Productions']
1974,Dersu Uzala,"SEK 536,075","$4,000,000",The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Akira Kurosawa,"['Akira Kurosawa', 'Yuriy Nagibin']","['Maksim Munzuk', 'Yuriy Solomin', 'Mikhail Bychkov']","['Atelier 41', 'Daiei Studios', 'Mosfilm']"
1977,Close Encounters of the Third Kind,"$128,300,000","$19,400,870","After an encounter with U.F.O.s, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",Steven Spielberg,['Steven Spielberg'],"['Richard Dreyfuss', 'François Truffaut', 'Teri Garr']","['Columbia Pictures Corporation', 'EMI Films', 'Julia Phillips and Michael Phillips Productions']"
1960,Horror Hotel (a.k.a. The City of the Dead),NA,NA,NA,NA,NA,NA,NA
1976,Jonah Who Will Be 25 in the Year 2000,NA,NA,"The European equivalent of ""The Return of the Secaucus 7,"" this Swiss film looks at the lives of several men and women in their 30s as they confront the slim gains of the ""revolutionary"" ...
                    See full summary »",Alain Tanner,"['John Berger', 'Alain Tanner']","['Myriam Boyer', 'Jean-Luc Bideau', 'Miou-Miou']","['Action Films', 'Citel Films', 'Société Française de Production (SFP)']"
1997,Retroactive,NA,NA,A psychiatrist makes multiple trips through time to save a woman that was murdered by her brutal husband.,Louis Morneau,"['Michael Hamilton-Wright', 'Robert Strauss']","['James Belushi', 'Kylie Travis', 'Shannon Whirry']","['Cohiba Pictures', 'Orion Pictures']"
1951,"Place in the Sun, A",NA,NA,NA,NA,NA,NA,NA
1990,Jacob's Ladder,"$26,118,851","$25,000,000","Mourning his dead child, a haunted Vietnam war veteran attempts to discover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusion, and perception of death.",Adrian Lyne,['Bruce Joel Rubin'],"['Tim Robbins', 'Elizabeth Peña', 'Danny Aiello']",['Carolco Pictures']
